providerName,siteURL,imageURL,domain,estFoundingYear
MyEduSolve,https://myedusolvex.com/prakerja,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/awfqigkmyedusolve.png?v=3,myedusolvex.com,2020-04-06
Namsan Course,https://namsankoreancourse.com/kelas-untuk-kartu-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Namsan_Course.png?v=3,namsankoreancourse.com,2012-12-23
NetCampus,https://netcampus.id/kartu-prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/NetCampus.png?v=3,netcampus.id,
NF Computer,https://www.nurulfikri.com/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/NF_Computer.png?v=3,nurulfikri.com,
Outward Bound Indonesia,https://course.outwardboundindo.org/about-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Outward_Bound_Indonesia.png?v=3,course.outwardboundindo.org,
PAKAR,https://pakar.co.id/kelas/,https://static-asset-cdn.prakerja.go.id/companies-logo/Pakar.png?v=3,pakar.co.id,
Papindo Education Center,http://kartuprakerja.papindoonline.website/kartu-prakerja-bersama-lembaga-papindo/,https://static-asset-cdn.prakerja.go.id/companies-logo/Papindo_Education_Center.png?v=3,kartuprakerja.papindoonline.website,
Paradigm,http://www.paradigm.co.id,https://static-asset-cdn.prakerja.go.id/companies-logo/Paradigm.png?v=3,paradigm.co.id,
Partnerinc,http://partnerinc.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/Partnerinc.png?v=3,partnerinc.id,
PETROTEKNO,https://www.petrotekno.co.id/photos/KartuPraKerja/PraKerja.html,https://static-asset-cdn.prakerja.go.id/companies-logo/PETROTEKNO.png?v=3,petrotekno.co.id,
Pijar Mahir,https://pijarmahir.id/kartuprakerja,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/nbZgrOkpijar-mahir.png?v=3,pijarmahir.id,
Politeknik Indonesia Internasional,https://politeknikindonesia.com/kelas-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Politeknik_Indonesia_Internasional.png?v=3,politeknikindonesia.com,2015-02-25
Precena JAC Strategic Partners,https://precena.co.id/main/detail_news/precena-as-prakerja-partner,https://static-asset-cdn.prakerja.go.id/companies-logo/Precena_JAC_Strategic_Partners.png?v=3,precena.co.id,
PRICE Course,https://learning.pricecourse.com/prakerja/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/q85TPScprice-course.png?v=3,learning.pricecourse.com,
Prince English solution,https://princeenglishsolution.com/course/prakerja,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/sIw4o0Iprince.png?v=3,princeenglishsolution.com,
PRO-DIGI,https://vtcprodigi.co.id/pelatihan-prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/PRO-DIGI.png?v=3,vtcprodigi.co.id,
PT Magenta Permata Jaya,https://magentajaya.com/kartu-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/PT_Magenta_Permata_Jaya.png?v=3,magentajaya.com,2018-12-07
PT Nawilis Waskita Lestari,https://www.nawilis.com/tag/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/PT_Nawilis_Waskita_Lestari.png?v=3,nawilis.com,2005-11-03
PT Solusi Properti Indonesia,http://www.solusi-properti.com/,https://static-asset-cdn.prakerja.go.id/companies-logo/PT_Solusi_Properti_Indonesia.png?v=3,solusi-properti.com,2012-12-17
PT Yureka Edukasi Cipta,https://www.yec.co.id/kartu-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/PT_Yureka_Edukasi_Cipta.png?v=3,yec.co.id,
Rudy Hadisuwarno School,https://rudyhadisuwarnoschool.id/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Rudy_Hadisuwarno_School.png?v=3,rudyhadisuwarnoschool.id,
Rumah Siap Kerja,https://rumahsiapkerja.com/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Rumah_Siap_Kerja.png?v=3,rumahsiapkerja.com,
SafeX,http://www.safex.id/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/SafeX.png?v=3,safex.id,
Scomptec Education,http://scomptec-learning.com/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/dvVXtMklogo - Frisca Sangap.png?v=3,scomptec-learning.com,2012-05-28
Sekolah Desain ID,https://www.promo.sekolahdesain.id/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Sekolah_Desain.png?v=3,promo.sekolahdesain.id,
Sekolah Pintar,https://sekolahpintar.com/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Sekolah_Pintar.png?v=3,sekolahpintar.com,2014-06-30
Sekolah Vokasi IPB,https://sv.ipb.ac.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/Sekolah_Vokasi_IPB.png?v=3,sv.ipb.ac.id,
Sertifikasiku,https://sertifikasiku.com/program-pra-kerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Sertifikasiku.png?v=3,sertifikasiku.com,
Skill Academy by Ruangguru,https://skillacademy.com/prakerja,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/dy7-MOUskillakademy-ruangguru.png?v=3,skillacademy.com,2010-05-25
SKILLS.ID,https://skills.id/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Skill.id.png?v=3,skills.id,
